formula,actual,predicted,elements,residual
Bi3F3I4O13,3.834487773,3.7,Bi F I O,-0.13448777300000003
Bi25FeO39,2.7679991289999997,2.8,Bi Fe O,0.03200087100000015
CeFMoO4,3.380139682,2.52,Ce F Mo O,-0.8601396819999998
AgF,4.049917614,2.8,Ag F,-1.2499176140000001
La4FeSb2S10,0.986671773,1.0,La Fe Sb S,0.013328227000000026
FeSc2,0.269510312,0.77,Fe Sc,0.500489688
Bi7F11O5,3.9972783130000002,4.05,Bi F O,0.05272168699999957
PrF3,5.839633699,5.6,Pr F,-0.23963369900000053
Na2B6O9F2,6.2936477570000005,7.33,Na B O F,1.0363522429999996
BiFeSe3O9,2.488946559,2.54,Bi Fe Se O,0.05105344100000009
CuFeSe2,0.24196243,0.155,Cu Fe Se,-0.08696243000000001
Sr5V3O12F,3.833264203,4.5,Sr V O F,0.6667357969999999
Ba4B11O20F,5.055530299,7.1,Ba B O F,2.0444697009999997
AgFeSe2,0.265026294,0.23,Ag Fe Se,-0.035026293999999986
KF,10.37259448,10.3,K F,-0.07259447999999935
Ca5B3O9F,6.827570548,6.53,Ca B O F,-0.2975705479999995
KFeCuTe2,1.5141592209999999,1.06,K Fe Cu Te,-0.45415922099999984
CsF,9.145202952,10.0,Cs F,0.854797048
La2O2FeSe2,1.4920806709999999,0.7,La O Fe Se,-0.7920806709999999
Ba5V3O12F,4.5664024,3.85,Ba V O F,-0.7164024000000002
CeF3,5.357780461,4.85,Ce F,-0.5077804610000003
Ce2O2FeSe2,1.6006137530000002,0.64,Ce O Fe Se,-0.9606137530000002
YFMoO4,4.094345758999999,3.78,Y F Mo O,-0.3143457589999996
Li6Fe2Te8O22,2.881890335,1.98,Li Fe Te O,-0.901890335
AgFeTe2,0.325764502,0.3675,Ag Fe Te,0.04173549799999998
BiIO3F2,4.3889224769999995,3.97,Bi I O F,-0.4189224769999993
Fe2Te3,0.863773226,0.47,Fe Te,-0.393773226
RbF,9.96425694,10.4,Rb F,0.43574306000000007
MnF2,4.125160288,9.9,Mn F,5.774839712
CuFeTe2,0.591042484,0.16,Cu Fe Te,-0.431042484
VFeSb,0.470579487,0.46,V Fe Sb,-0.010579486999999999
Ba3FeS4Br,2.2779521959999998,1.65,Ba Fe S Br,-0.6279521959999999
PrFMoO4,3.093827302,3.64,Pr F Mo O,0.5461726980000003
Fe2TiSi,0.21791649800000001,0.4,Fe Ti Si,0.182083502
Li4.5Fe0.5TeO6,2.142054247,3.25,Li Fe Te O,1.107945753
FeIn2Se4,0.398333052,1.15,Fe In Se,0.7516669479999999
La3FMo4O16,3.167014767,3.7,La F Mo O,0.5329852330000002
KTi2F7,4.927863829,6.4,K Ti F,1.4721361710000007
FeP4,0.342288584,0.32,Fe P,-0.022288584
Na3MoO4F,4.5080117269999995,4.77,Na Mo O F,0.26198827300000005
LaF3,6.13661868,6.6,La F,0.4633813199999999
NdF3,5.8971665820000005,6.15,Nd F,0.2528334179999998
CuFeS2,0.804585131,0.48666666700000005,Cu Fe S,-0.3179184639999999
K10Fe4Sn4S17,2.3493126490000003,2.2,K Fe Sn S,-0.14931264900000008
Li2FeSnS4,2.376720372,1.86,Li Fe Sn S,-0.5167203719999998
Fe2O3,2.003373405,2.2,Fe O,0.19662659500000013
La4FeSb2Se10,1.273850254,0.85,La Fe Sb Se,-0.4238502540000001
BaClBF4,6.024164195,6.89,Ba Cl B F,0.8658358049999997
FeAsSe,0.10954919,0.6,Fe As Se,0.49045080999999996
FePS,0.61062464,0.25,Fe P S,-0.36062464000000005
CdF2,5.136681213,6.0,Cd F,0.8633187869999999
Cd8B5O15F,4.346565442,3.14,Cd B O F,-1.206565442
K2FeGe3Se8,1.595048399,1.95,K Fe Ge Se,0.354951601
