formula,actual,predicted,elements,residual
NdCuOS,3.171668266,2.98,Nd Cu O S,-0.1916682660000002
NdLuSe3,1.34171983,1.61,Nd Lu Se,0.26828017000000015
Nd2Se3,1.87532954,1.725,Nd Se,-0.15032953999999998
Nd3Te4,0.701354741,1.6,Nd Te,0.8986452590000001
NdAs,0.895623147,1.04,Nd As,0.14437685300000003
Nd2ZrS5,1.140044247,1.83,Nd Zr S,0.689955753
Nd4InSbSe9,1.675702306,1.57,Nd In Sb Se,-0.10570230599999997
Ba2GaNdSe5,2.132888162,2.18,Ba Ga Nd Se,0.047111838000000184
Nd2Sn3Se9,0.616200833,0.5,Nd Sn Se,-0.11620083299999995
NdB6,4.090025761000001,4.9,Nd B,0.8099742389999998
Nd2HfS5,1.889047233,0.7,Nd Hf S,-1.1890472330000001
Nd4Ge3S12,2.417192673,2.62,Nd Ge S,0.20280732699999993
Ba2NdGaS5,2.7241016080000002,2.12,Ba Nd Ga S,-0.6041016080000001
Ba2InNdTe5,1.2530559620000001,1.37,Ba In Nd Te,0.11694403799999997
Nd2O3,3.4910836510000003,4.4,Nd O,0.9089163490000001
SrNd2S4,2.6109302309999998,2.45,Sr Nd S,-0.1609302309999996
K2Nd2Ti3O10,3.125098406,3.25,K Nd Ti O,0.12490159399999978
Nd1.33Lu0.67S3,1.4232985390000001,1.5,Nd Lu S,0.07670146099999986
NdF3,5.8971665820000005,6.15,Nd F,0.2528334179999998
Nd2YbCuS5,1.576893329,1.35,Nd Yb Cu S,-0.22689332899999992
NdTe2,1.167454929,0.48,Nd Te,-0.687454929
Nd2Te3,0.7125973729999999,1.12,Nd Te,0.4074026270000002
Ba2InNdSe5,2.1459875680000002,2.2,Ba In Nd Se,0.054012431999999944
