formula,actual,predicted,elements,residual
K2Ho4Cu4S9,1.281538303,2.43,K Ho Cu S,1.1484616970000001
Hg0.01Cd0.99Se,0.8040168940000001,0.29,Hg Cd Se,-0.5140168940000001
CdIn30Te46,1.207731222,1.17,Cd In Te,-0.03773122200000012
Cu3VS4,1.620480135,1.0,Cu V S,-0.620480135
CsDy9Cd4Se18,2.073592435,1.99,Cs Dy Cd Se,-0.08359243500000013
Hg0.77Cd0.23Te,0.22078487100000002,0.165,Hg Cd Te,-0.055784871000000014
Ce2Sn3Se9,0.636284058,0.3,Ce Sn Se,-0.336284058
CuIn5S8,1.23169487,1.34,Cu In S,0.10830512999999997
CsCd4In5Se12,1.720132451,1.62,Cs Cd In Se,-0.1001324509999999
Cd4GdB3O10,3.6896114939999998,3.8,Cd Gd B O,0.11038850600000005
Ca2Si,0.85598475,1.9,Ca Si,1.04401525
Cs2ZnGe3Se8,2.523464534,2.31,Cs Zn Ge Se,-0.21346453399999987
Rb3CdB5O10,4.532821854,2.34,Rb Cd B O,-2.192821854
CsLu7Se11,1.385542555,1.78,Cs Lu Se,0.394457445
CaTe,3.705512309,4.185,Ca Te,0.47948769099999966
CaB6,2.8581782739999997,4.5,Ca B,1.6418217260000003
CoP3,0.385045222,0.45,Co P,0.06495477799999999
Cs2Cd3B16O28,4.202073924,4.76,Cs Cd B O,0.5579260760000002
Cu3YbSe3,0.485938524,0.2,Cu Yb Se,-0.28593852399999997
Na7Co2O6,2.82955266,0.495,Na Co O,-2.33455266
CsYZnSe3,2.340307848,2.35,Cs Y Zn Se,0.009692151999999954
CuInS2,1.9468385019999999,1.5363333330000002,Cu In S,-0.41050516899999967
Hg2Cu3Te6O16,2.559948936,2.56,Hg Cu Te O,5.106399999998956e-05
Ce15B8N25,1.693451442,3.5,Ce B N,1.806548558
Cs2PdSe8,1.501605742,1.5,Cs Pd Se,-0.0016057419999999656
KCuThS3,2.154849014,2.95,K Cu Th S,0.7951509860000003
Cs6.40Na1.60Ga8Ge38,0.569303608,0.221,Cs Na Ga Ge,-0.34830360800000004
KCu3S2,1.6822729269999999,1.459,K Cu S,-0.2232729269999998
CdSe,2.138819705,1.858412,Cd Se,-0.280407705
Bi2AsO4Cl,3.563585582,3.43,Bi As O Cl,-0.13358558199999981
CaMg2N2,2.287869871,3.25,Ca Mg N,0.9621301290000002
CsSbS2,2.1264117319999998,2.8,Cs Sb S,0.673588268
Li4Cs3B7O14,6.346346569,6.53,Li Cs B O,0.18365343100000064
CoAs3,0.57682583,0.4,Co As,-0.17682582999999996
Cs2AgBiBr6,1.929286615,2.19,Cs Ag Bi Br,0.26071338499999985
Ce4InSbSe9,1.459961082,1.69,Ce In Sb Se,0.23003891799999998
Ca3B2N4,4.3035516110000005,4.0,Ca B N,-0.3035516110000005
Rb2CuNbS4,2.518878734,2.64,Rb Cu Nb S,0.12112126600000028
Cd5Ga2S2Te6,1.492913814,1.29,Cd Ga S Te,-0.20291381399999997
