formula,actual,predicted,elements,residual
DyIn3S6,1.4400080480000002,1.22,Dy In S,-0.22000804800000018
CsDy9Cd4Se18,2.073592435,1.99,Cs Dy Cd Se,-0.08359243500000013
DyB6,3.7933232080000003,3.3,Dy B,-0.4933232080000005
Dy3GaS6,3.034084563,2.81,Dy Ga S,-0.2240845629999999
Ba3Dy2P4S16,3.3191594889999996,3.28,Ba Dy P S,-0.03915948899999977
Cs2Cu3DyTe4,1.164969476,1.38,Cs Cu Dy Te,0.2150305239999999
Dy2Mo3O12,2.202823623,1.92,Dy Mo O,-0.2828236230000001
EuDy2Se4,2.124523998,1.8,Eu Dy Se,-0.32452399799999987
Cu3DyTe3,0.261835571,0.34,Cu Dy Te,0.07816442900000004
DyTe1.40,0.711816365,0.6,Dy Te,-0.11181636500000003
DyPO4,4.352900168,6.38,Dy P O,2.027099832
DyTe1.7,0.584118933,0.35,Dy Te,-0.23411893299999997
DyN,1.9503908730000001,2.35,Dy N,0.39960912699999995
Ba2InDyTe5,1.3428179869999999,1.35,Ba In Dy Te,0.007182013000000209
Dy2S3,2.173176537,2.955,Dy S,0.7818234630000003
Dy4S4Te3,1.7656397419999998,1.43,Dy S Te,-0.3356397419999999
Dy2Te3,0.596609967,0.69,Dy Te,0.09339003299999993
Dy4GaSbS9,2.373706865,2.58,Dy Ga Sb S,0.20629313500000013
Ba2GaDySe5,2.190233161,2.35,Ba Ga Dy Se,0.159766839
DyTe1.45,0.648058781,0.6,Dy Te,-0.04805878100000005
Cu3DySe3,0.216164277,0.2,Cu Dy Se,-0.016164276999999977
