formula,actual,predicted,elements,residual
K4Ba2Nb4S22,2.131434202,1.77,K Ba Nb S,-0.36143420199999987
BaGa2Se4,3.321355381,3.1630000000000003,Ba Ga Se,-0.1583553809999998
BaGa4S7,3.639602747,3.54,Ba Ga S,-0.09960274700000005
Ag4Ba6Sn4S16,1.576224307,2.37,Ag Ba Sn S,0.7937756930000002
Ba2ScTaO6,3.691331685,4.19,Ba Sc Ta O,0.4986683150000002
BaReH9,1.737876802,3.44,Ba Re H,1.702123198
Ba8Sn4S15,2.370067175,2.31,Ba Sn S,-0.06006717499999992
Ba2GaBiSe5,1.320332839,2.21,Ba Ga Bi Se,0.889667161
La2BaTe5O14,3.3000484739999996,3.81,La Ba Te O,0.5099515260000005
Ba3V2Se4O16,3.256982583,2.87,Ba V Se O,-0.386982583
BaIn2S4,2.750245669,3.057,Ba In S,0.30675433100000005
Ba3La3Cu6O14,2.734833362,1.8,Ba La Cu O,-0.9348333619999998
Ba2V2Te2O11,2.481364384,3.16,Ba V Te O,0.6786356160000002
BaB2O4,5.418573401000001,6.443333332999999,Ba B O,1.0247599319999985
Na2BaGeSe4,1.9642147380000001,2.25,Na Ba Ge Se,0.2857852619999999
Ba2SnSe5,1.6954153680000001,1.8,Ba Sn Se,0.1045846319999999
BaGa4Se7,2.351184094,2.64,Ba Ga Se,0.28881590599999996
Ba5In4Te4S7,1.6970841419999998,2.13,Ba In Te S,0.4329158580000001
Ag2.7Ba6Sn4.3S16,2.011910388,1.48,Ag Ba Sn S,-0.531910388
Ba3Dy2P4S16,3.3191594889999996,3.28,Ba Dy P S,-0.03915948899999977
Zn0.2Ba2B2S5.2,2.859838916,3.54,Zn Ba B S,0.6801610839999999
BaAl4Se7,2.322635154,3.4,Ba Al Se,1.077364846
Ba3ThSe7,1.554410497,1.96,Ba Th Se,0.4055895030000001
Ba2AgInS4,2.7317576860000004,2.32,Ba Ag In S,-0.4117576860000005
BaLa2In2S7,2.28223312,1.87,Ba La In S,-0.4122331199999998
BaSn2S5,2.151434343,2.35,Ba Sn S,0.19856565700000006
BaIn2Se4,2.30804589,2.625,Ba In Se,0.3169541100000002
RbBa2P5O15,5.269878503999999,7.6,Rb Ba P O,2.3301214960000003
BaHgSe2,1.9026433630000001,1.56,Ba Hg Se,-0.3426433630000001
Ba3Er2P4S16,3.0524510780000003,3.3,Ba Er P S,0.24754892199999956
BaIn2P4O14,4.224868893,3.97,Ba In P O,-0.2548688929999998
Ba4Ga4SnSe12,1.856320288,2.16,Ba Ga Sn Se,0.3036797120000001
Ba2In2S5,2.913778324,2.47,Ba In S,-0.4437783239999997
BaTe,2.77554472,3.4,Ba Te,0.6244552799999998
Ba2GaYTe5,1.319184433,1.08,Ba Ga Y Te,-0.23918443299999992
Ba2ZnTe3,2.651089039,2.1,Ba Zn Te,-0.5510890389999998
BaV2SeO8,3.5640302630000003,2.13,Ba V Se O,-1.4340302630000004
Ba5CdGa6Se15,2.44818367,2.6,Ba Cd Ga Se,0.15181632999999994
Ba2GaSmSe5,2.201813939,2.27,Ba Ga Sm Se,0.06818606100000002
Ba2SnSe4,2.290364281,1.9,Ba Sn Se,-0.3903642810000001
Ba8Al10B12O41,4.357135689,3.1,Ba Al B O,-1.2571356889999996
Ba8Ga10Si36,0.590653535,0.31,Ba Ga Si,-0.28065353499999995
Ba3P3O10Cl,5.189498406,6.89,Ba P O Cl,1.7005015939999995
BaO,5.277012085,4.8,Ba O,-0.47701208500000014
Ba23Ga8Sb2S38,2.311902566,2.84,Ba Ga Sb S,0.5280974339999998
BaB6,3.837768502,2.64,Ba B,-1.1977685019999997
Ba4B11O20F,5.055530299,7.1,Ba B O F,2.0444697009999997
Ba2InYSe5,1.982815416,2.31,Ba In Y Se,0.32718458400000006
Ba3MgTa2O9,4.000027705,4.28,Ba Mg Ta O,0.2799722950000003
Ba4Ge3Se9Cl2,2.013319236,1.89,Ba Ge Se Cl,-0.12331923600000017
BaBiO2Cl,3.6865595960000004,3.71,Ba Bi O Cl,0.02344040399999958
Ba6Sn6Se13,1.478219472,1.52,Ba Sn Se,0.041780528000000094
Ba3Ta5O14N,2.382533557,2.8,Ba Ta O N,0.4174664429999999
BaGa2S4,3.400013445,4.125,Ba Ga S,0.7249865550000001
KBaB5O9,6.397954868999999,3.65,K Ba B O,-2.7479548689999995
Ba5Ga6SnP12,1.6977872569999999,1.21,Ba Ga Sn P,-0.4877872569999999
Ba4CuGa5Se12,2.1419318030000003,1.45,Ba Cu Ga Se,-0.6919318030000003
KBaSbSe3,2.386555369,2.04,K Ba Sb Se,-0.34655536899999984
Ba2GaNdSe5,2.132888162,2.18,Ba Ga Nd Se,0.047111838000000184
Ba2V4Te3O18,3.003743136,2.64,Ba V Te O,-0.3637431360000001
BaCu2SnSe4,0.819147084,0.48,Ba Cu Sn Se,-0.33914708400000004
BaSi2,0.958344394,1.3,Ba Si,0.341655606
BaAgSbS3,2.624656586,2.2,Ba Ag Sb S,-0.4246565859999998
NaBa2Cu3S5,1.5207734480000001,0.45,Na Ba Cu S,-1.0707734480000002
Ba2BiInS5,1.9927001430000002,1.55,Ba Bi In S,-0.44270014300000016
Ba3CdSn2S8,2.5343511469999997,2.75,Ba Cd Sn S,0.21564885300000025
Ba3Sn0.87Bi2.13Se8,1.514555776,0.79,Ba Sn Bi Se,-0.7245557759999999
KBaAsSe3,1.811656182,2.26,K Ba As Se,0.4483438179999999
Ba3ZnTa2O9,4.278396289,4.32,Ba Zn Ta O,0.04160371100000049
BaPrO3,2.967153568,2.0,Ba Pr O,-0.9671535680000001
BaCdSnS4,3.00280998,2.3,Ba Cd Sn S,-0.7028099800000001
BaGa2SnSe6,1.813662633,1.775,Ba Ga Sn Se,-0.03866263300000017
Cs2Ba3P4O14,5.531280926,6.31,Cs Ba P O,0.7787190739999996
Ba2InDyTe5,1.3428179869999999,1.35,Ba In Dy Te,0.007182013000000209
Ba1.88Ta15O32,1.830954061,0.13,Ba Ta O,-1.700954061
Ba5V3O12F,4.5664024,3.85,Ba V O F,-0.7164024000000002
