formula,actual,predicted,elements,residual
OsP2,1.3118869359999998,1.165,Os P,-0.1468869359999998
OsSbSe,0.922652118,0.4,Os Sb Se,-0.522652118
OsS2,1.3537785080000002,2.0,Os S,0.6462214919999998
OsP4,1.283102914,0.5,Os P,-0.7831029140000001
OsSbS,0.7746865059999999,1.2,Os Sb S,0.42531349400000007
OsPS,1.407738566,1.4,Os P S,-0.007738566000000002
OsTe2,0.21839283,0.3,Os Te,0.08160716999999998
OsSb2,0.386847723,0.236666667,Os Sb,-0.15018105599999998
OsAsS,1.483049296,1.3,Os As S,-0.18304929599999986
OsPSe,1.268151421,1.4,Os P Se,0.1318485789999999
