formula,actual,predicted,elements,residual
EuTb2Se4,1.665725635,2.0,Eu Tb Se,0.33427436499999996
TbIn3S6,1.755906695,1.2,Tb In S,-0.555906695
Tb2O3,4.285378324,3.0,Tb O,-1.2853783239999999
Cu3TbTe3,0.299112098,0.46,Cu Tb Te,0.16088790200000003
CsTb9Cd4Se18,1.845483781,1.95,Cs Tb Cd Se,0.10451621899999997
Tb2Mo3O12,1.9442697869999999,1.505,Tb Mo O,-0.43926978699999997
TbSb2BO8,3.3223383589999997,3.53,Tb Sb B O,0.20766164100000006
CsTbZnTe3,1.755696537,2.12,Cs Tb Zn Te,0.36430346300000016
Pr2.48Tb0.52Ga1.67S7,2.5644160780000003,2.61,Pr Tb Ga S,0.04558392199999961
Cu3TbSe3,0.8618323440000001,0.16,Cu Tb Se,-0.701832344
KTbSe4,1.865689947,1.65,K Tb Se,-0.215689947
Ba3Tb2P4S16,3.043372774,3.37,Ba Tb P S,0.32662722600000027
La1.86Tb1.14Ga1.67S7,2.045408929,2.67,La Tb Ga S,0.6245910709999998
Tb4Al2O9,1.928268831,4.59,Tb Al O,2.661731169
