formula,actual,predicted,elements,residual
Tl4CuTeO6,1.510314755,2.2,Tl Cu Te O,0.6896852450000002
TlHg6S4Br5,2.632729303,3.03,Tl Hg S Br,0.39727069699999973
TlSbS2,1.402138846,1.69,Tl Sb S,0.287861154
Tl2O3,2.830616973,2.25,Tl O,-0.5806169730000001
Tl3VS4,0.797033082,1.81,Tl V S,1.012966918
Tl2AuPS4,1.962016842,2.2,Tl Au P S,0.23798315800000025
TlPSe2,2.143834729,0.55,Tl P Se,-1.593834729
Tl2GeTe3,0.775968813,0.365,Tl Ge Te,-0.410968813
TlAsS2,2.091826333,2.185,Tl As S,0.09317366699999985
TlTiPS5,1.960449134,1.3,Tl Ti P S,-0.660449134
AgTlSe2,0.890474366,0.72,Ag Tl Se,-0.170474366
Tl2PrInSe4,1.539987856,0.93,Tl Pr In Se,-0.6099878559999999
TlCr5S4Se4,0.777329802,0.85,Tl Cr S Se,0.07267019799999996
TlBr,2.6094263669999997,2.991275,Tl Br,0.38184863300000016
TlScS2,1.270092867,1.51,Tl Sc S,0.239907133
Tl2Hg3Te4,0.8419628159999999,0.9,Tl Hg Te,0.05803718400000013
TlInGeS4,2.704638731,2.3,Tl In Ge S,-0.40463873100000036
TlCr5Se8,0.416585485,0.67,Tl Cr Se,0.25341451500000006
Tl2CeP2S7,1.568414625,2.4,Tl Ce P S,0.831585375
Tl2InGaTe4,1.190004687,0.88,Tl In Ga Te,-0.31000468700000006
Tl4Ta2S11,2.407667547,1.26,Tl Ta S,-1.147667547
TlS2,2.2015029719999997,1.8,Tl S,-0.4015029719999996
TlPrSe2,0.905446929,1.18,Tl Pr Se,0.2745530709999999
Tl2TeI6,2.186159899,1.485,Tl Te I,-0.7011598990000001
Pb0.93TeTl0.07,0.466327901,0.54,Pb Te Tl,0.07367209900000005
TlGaTe2,0.840327446,1.8,Tl Ga Te,0.9596725540000001
Tl2S,1.214129416,1.0,Tl S,-0.21412941600000002
TlGaS2,1.9834447990000001,3.4,Tl Ga S,1.4165552009999998
Tl2TeBr6,3.316083107,2.06,Tl Te Br,-1.2560831069999998
TlCr5S3Se5,0.818818116,0.8,Tl Cr S Se,-0.01881811599999994
Tl2Hg3Se4,1.605210293,1.57,Tl Hg Se,-0.035210293000000004
Tl3CuNb2Se12,1.017818289,0.8,Tl Cu Nb Se,-0.217818289
TlBiTe3,0.24659705,0.5,Tl Bi Te,0.25340295
TlPTe,1.084974697,0.3,Tl P Te,-0.784974697
Tl2Hg3S4,2.020671625,2.05,Tl Hg S,0.029328374999999962
TlCl,2.859127953,3.4182,Tl Cl,0.5590720469999999
CdTlS2,1.5811078719999998,1.5,Cd Tl S,-0.0811078719999998
TlInTe2,0.439893455,0.666666667,Tl In Te,0.226773212
Pb0.999TeTl0.001,0.490679965,0.3,Pb Te Tl,-0.190679965
TlS,1.240702137,1.365,Tl S,0.12429786300000001
Tl4CdI6,2.182851789,2.8,Tl Cd I,0.617148211
TlHg6Se4Br5,2.645166926,2.8,Tl Hg Se Br,0.1548330739999999
Tl4GaIn3S8,1.66258264,2.63,Tl Ga In S,0.96741736
TlCr5S6Se2,0.84613423,0.94,Tl Cr S Se,0.09386576999999996
TlGaSe2,1.511269244,1.65,Tl Ga Se,0.13873075599999996
TlBiTe2,0.406542347,0.12,Tl Bi Te,-0.28654234700000003
Tl2InGaSe4,1.69125697,2.05,Tl In Ga Se,0.35874302999999985
TlCuCl3,2.52687392,2.98,Tl Cu Cl,0.4531260800000001
TlCr5S5Se3,0.842589107,0.89,Tl Cr S Se,0.04741089300000001
AgTlTe2,0.535786045,0.1,Ag Tl Te,-0.43578604500000007
TlN,1.64143888,1.4,Tl N,-0.24143888000000002
TlSbTe3,0.65997488,0.38,Tl Sb Te,-0.27997488000000004
TlAsSe2,1.152649609,1.375,Tl As Se,0.22235039099999998
TlN3,2.613387135,3.58,Tl N,0.9666128650000001
TlCr5S8,0.901271335,1.01,Tl Cr S,0.108728665
TiTlS2,1.145044027,1.0,Ti Tl S,-0.14504402699999996
CuTlSe2,0.540805824,1.07,Cu Tl Se,0.5291941760000001
Pb0.96TeTl0.04,0.43983919299999996,0.57,Pb Te Tl,0.130160807
TlScSe2,1.143934119,0.79,Tl Sc Se,-0.35393411900000005
TlHgInS3,1.83093967,1.74,Tl Hg In S,-0.09093967000000003
TlSbSe2,1.000399412,0.82,Tl Sb Se,-0.18039941199999998
Tl2TeS3,1.4659711659999999,1.6,Tl Te S,0.1340288340000002
Tl6CuTe2O10,2.508844555,2.3,Tl Cu Te O,-0.2088445550000002
TlInSe2,1.057253958,1.2063636359999999,Tl In Se,0.14910967799999986
Pb0.99TeTl0.01,0.439643471,0.59,Pb Te Tl,0.15035652899999996
TlScTe2,0.19372149100000002,0.85,Tl Sc Te,0.656278509
Tl2SeAs2Te3,0.675779993,0.67,Tl Se As Te,-0.005779992999999983
